September 21st,,,
Name,Style,Description,ABV
Radiator Red,Red Ale,"Malty, Smooth, Refreshing",5.0%
Man goes to bar,Sour Ale,"Tropical Fruit, Tart, Clean sour",6.0%
Hazed and Confused,American IPA,Hazey Hop forward IPA,6.0%
Amber Ale,Amber Ale,"Malty, Clean, Refreshing",5.5%
Pub Ale,English Pale,"Quaffable, Malty, Light Toast",5.5%
Magruder's Stout,Dry Stout,"Creamy Nitro Stout, smooth roast",4.0%
Water Tower Wheat,Hefeweizen,Classic Hefe with hints of banana and clove,5.0%
Hard Seltzer,Hard Seltzer,A clean base for our selection of flavors,6.0%
Triple Stacks,Double IPA,"DIPA featuring Citra, Mosaic and El Dorado",8.9%
Pilsner,Bohemian Pilsner,Refreshing classic Pils,4.5%
